original_path,original_category,final_category,store,filename,decision,changed,method,written_to,note
Anime/frameium/Arise (2).webp,Anime,Anime,frameium,Arise (2).webp,keep,no,copy,Anime\frameium\Arise (2).webp,
Anime/frameium/Arise.webp,Anime,Anime,frameium,Arise.webp,keep,no,copy,Anime\frameium\Arise.webp,
Anime/frameium/ATTACK ON TITAN (2).webp,Anime,Anime,frameium,ATTACK ON TITAN (2).webp,keep,no,copy,Anime\frameium\ATTACK ON TITAN (2).webp,
Anime/frameium/ATTACK ON TITAN (3).webp,Anime,Anime,frameium,ATTACK ON TITAN (3).webp,keep,no,copy,Anime\frameium\ATTACK ON TITAN (3).webp,
Anime/frameium/ATTACK ON TITAN (4).webp,Anime,Anime,frameium,ATTACK ON TITAN (4).webp,keep,no,copy,Anime\frameium\ATTACK ON TITAN (4).webp,
Anime/frameium/Attack on titan (5).webp,Anime,Anime,frameium,Attack on titan (5).webp,keep,no,copy,Anime\frameium\Attack on titan (5).webp,
Anime/frameium/Attack on titan (6).webp,Anime,Anime,frameium,Attack on titan (6).webp,keep,no,copy,Anime\frameium\Attack on titan (6).webp,
Anime/frameium/Attack on titan (7).webp,Anime,Anime,frameium,Attack on titan (7).webp,keep,no,copy,Anime\frameium\Attack on titan (7).webp,
Anime/frameium/Attack on titan (8).webp,Anime,Anime,frameium,Attack on titan (8).webp,keep,no,copy,Anime\frameium\Attack on titan (8).webp,
Anime/frameium/ATTACK ON TITAN.webp,Anime,Anime,frameium,ATTACK ON TITAN.webp,keep,no,copy,Anime\frameium\ATTACK ON TITAN.webp,
Anime/frameium/Death Note (2).webp,Anime,Anime,frameium,Death Note (2).webp,keep,no,copy,Anime\frameium\Death Note (2).webp,
Anime/frameium/Death note (3).webp,Anime,Anime,frameium,Death note (3).webp,keep,no,copy,Anime\frameium\Death note (3).webp,
Anime/frameium/Death note (4).webp,Anime,Anime,frameium,Death note (4).webp,keep,no,copy,Anime\frameium\Death note (4).webp,
Anime/frameium/DEATH NOTE.webp,Anime,Anime,frameium,DEATH NOTE.webp,keep,no,copy,Anime\frameium\DEATH NOTE.webp,
Anime/frameium/DEMON SLAYER (2).webp,Anime,Anime,frameium,DEMON SLAYER (2).webp,keep,no,copy,Anime\frameium\DEMON SLAYER (2).webp,
Anime/frameium/DEMON SLAYER (3).webp,Anime,Anime,frameium,DEMON SLAYER (3).webp,keep,no,copy,Anime\frameium\DEMON SLAYER (3).webp,
Anime/frameium/DEMON SLAYER.webp,Anime,Anime,frameium,DEMON SLAYER.webp,keep,no,copy,Anime\frameium\DEMON SLAYER.webp,
Anime/frameium/Hunter x Hunter (2).webp,Anime,Anime,frameium,Hunter x Hunter (2).webp,keep,no,copy,Anime\frameium\Hunter x Hunter (2).webp,
Anime/frameium/Hunter x Hunter.webp,Anime,Anime,frameium,Hunter x Hunter.webp,keep,no,copy,Anime\frameium\Hunter x Hunter.webp,
Anime/frameium/Jujutsu kaisen (2).webp,Anime,Anime,frameium,Jujutsu kaisen (2).webp,keep,no,copy,Anime\frameium\Jujutsu kaisen (2).webp,
Anime/frameium/Jujutsu kaisen (3).webp,Anime,Anime,frameium,Jujutsu kaisen (3).webp,keep,no,copy,Anime\frameium\Jujutsu kaisen (3).webp,
Anime/frameium/Jujutsu kaisen (4).webp,Anime,Anime,frameium,Jujutsu kaisen (4).webp,keep,no,copy,Anime\frameium\Jujutsu kaisen (4).webp,
Anime/frameium/Jujutsu kaisen.webp,Anime,Anime,frameium,Jujutsu kaisen.webp,keep,no,copy,Anime\frameium\Jujutsu kaisen.webp,
Anime/frameium/MONSTER.webp,Anime,Anime,frameium,MONSTER.webp,keep,no,copy,Anime\frameium\MONSTER.webp,
Anime/frameium/One piece (2).webp,Anime,Anime,frameium,One piece (2).webp,keep,no,copy,Anime\frameium\One piece (2).webp,
Anime/frameium/One piece (3).webp,Anime,Anime,frameium,One piece (3).webp,keep,no,copy,Anime\frameium\One piece (3).webp,
Anime/frameium/One piece (4).webp,Anime,Anime,frameium,One piece (4).webp,keep,no,copy,Anime\frameium\One piece (4).webp,
Anime/frameium/One piece (5).webp,Anime,Anime,frameium,One piece (5).webp,keep,no,copy,Anime\frameium\One piece (5).webp,
Anime/frameium/One piece (6).webp,Anime,Anime,frameium,One piece (6).webp,keep,no,copy,Anime\frameium\One piece (6).webp,
Anime/frameium/One piece (7).webp,Anime,Anime,frameium,One piece (7).webp,keep,no,copy,Anime\frameium\One piece (7).webp,
Anime/frameium/One piece (8).webp,Anime,Anime,frameium,One piece (8).webp,keep,no,copy,Anime\frameium\One piece (8).webp,
Anime/frameium/One piece (9).webp,Anime,Anime,frameium,One piece (9).webp,keep,no,copy,Anime\frameium\One piece (9).webp,
Anime/frameium/One piece.webp,Anime,Anime,frameium,One piece.webp,keep,no,copy,Anime\frameium\One piece.webp,
Anime/frameium/SPIRITED AWAY.webp,Anime,Anime,frameium,SPIRITED AWAY.webp,keep,no,copy,Anime\frameium\SPIRITED AWAY.webp,
Anime/sparkstore/Attack On Titan 'Titan's Wrath' Frame.webp,Anime,Anime,sparkstore,Attack On Titan 'Titan's Wrath' Frame.webp,dismiss,no,copy,dismissed\Anime\sparkstore\Attack On Titan 'Titan's Wrath' Frame.webp,
Anime/sparkstore/Attack On Titan 'Wings Of Freedom' Frame.webp,Anime,Anime,sparkstore,Attack On Titan 'Wings Of Freedom' Frame.webp,keep,no,copy,Anime\sparkstore\Attack On Titan 'Wings Of Freedom' Frame.webp,
Anime/sparkstore/Avatar The Last Airbender 'Avatar Aang' Frame.webp,Anime,Anime,sparkstore,Avatar The Last Airbender 'Avatar Aang' Frame.webp,keep,no,copy,Anime\sparkstore\Avatar The Last Airbender 'Avatar Aang' Frame.webp,
Anime/sparkstore/Avatar The Last Airbender 'Avatar's Essence' Frame.webp,Anime,Anime,sparkstore,Avatar The Last Airbender 'Avatar's Essence' Frame.webp,keep,no,copy,Anime\sparkstore\Avatar The Last Airbender 'Avatar's Essence' Frame.webp,
Anime/sparkstore/Avatar The Last Airbender 'Elemental' Frame.webp,Anime,Anime,sparkstore,Avatar The Last Airbender 'Elemental' Frame.webp,keep,no,copy,Anime\sparkstore\Avatar The Last Airbender 'Elemental' Frame.webp,
Anime/sparkstore/Avatar The Last Airbender 'Ethereal Motion' Frame.webp,Anime,Anime,sparkstore,Avatar The Last Airbender 'Ethereal Motion' Frame.webp,keep,no,copy,Anime\sparkstore\Avatar The Last Airbender 'Ethereal Motion' Frame.webp,
